kb,date,url,slug,uuid
"4022212","2018-08-07","https://support.microsoft.com/help/4022212","august-7-2018-update-for-office-2013-kb4022212-b1bcf78b-b017-1b65-a060-8f12a0ae7c4e","b1bcf78b-b017-1b65-a060-8f12a0ae7c4e"
"4022221","2016-07-10","https://support.microsoft.com/help/4022221","description-of-the-security-update-for-skype-for-business-2016-july-10-2018-6fc479dc-1784-9cae-ef9c-b0e051448ec0","6fc479dc-1784-9cae-ef9c-b0e051448ec0"
"4022226","2018-08-07","https://support.microsoft.com/help/4022226","august-7-2018-update-for-onedrive-for-business-for-office-2013-kb4022226-6163bb26-cbde-eb16-ac42-abfda7afbf68","6163bb26-cbde-eb16-ac42-abfda7afbf68"
"4022228","2016-07-10","https://support.microsoft.com/en-us/topic/description-of-the-security-update-for-sharepoint-server-2016-july-10-2018-cb15ebc2-186a-092f-18e5-85176862a079","description-of-the-security-update-for-sharepoint-server-2016-july-10-2018-cb15ebc2-186a-092f-18e5-85176862a079","cb15ebc2-186a-092f-18e5-85176862a079"
"4022231","2018-08-14","https://support.microsoft.com/en-us/topic/august-14-2018-update-for-sharepoint-enterprise-server-2016-kb4022231-b0ff56f4-6d56-4a3e-c2c2-15f00e1105b6","august-14-2018-update-for-sharepoint-enterprise-server-2016-kb4022231-b0ff56f4-6d56-4a3e-c2c2-15f00e1105b6","b0ff56f4-6d56-4a3e-c2c2-15f00e1105b6"
"4022239","2018-07-10","https://support.microsoft.com/en-us/topic/july-10-2018-cumulative-update-for-sharepoint-foundation-2013-kb4022239-49d0b694-41a2-18de-e2ad-8ae6e488b5a6","july-10-2018-cumulative-update-for-sharepoint-foundation-2013-kb4022239-49d0b694-41a2-18de-e2ad-8ae6e488b5a6","49d0b694-41a2-18de-e2ad-8ae6e488b5a6"
"4022240","2018-07-10","https://support.microsoft.com/help/4022240","july-10-2018-cumulative-update-for-project-server-2013-kb4022240-deca0126-3a79-b96a-b583-f724ff437df8","deca0126-3a79-b96a-b583-f724ff437df8"
"4022241","2018-07-10","https://support.microsoft.com/en-us/topic/july-10-2018-cumulative-update-for-sharepoint-enterprise-server-2013-kb4022241-0be0805b-bc5d-7dd7-c288-f35dc5b63c16","july-10-2018-cumulative-update-for-sharepoint-enterprise-server-2013-kb4022241-0be0805b-bc5d-7dd7-c288-f35dc5b63c16","0be0805b-bc5d-7dd7-c288-f35dc5b63c16"
"4022715","2017-06-13","https://support.microsoft.com/help/4022715","june-13-2017-kb4022715-os-build-14393-1358-2b94ce9d-89b2-8bbb-04ec-d1ab87171348","2b94ce9d-89b2-8bbb-04ec-d1ab87171348"
"4022716","2017-06-27","https://support.microsoft.com/help/4022716","june-27-2017-kb4022716-os-build-15063-447-443ef868-8c65-5bea-a751-d47da3297daf","443ef868-8c65-5bea-a751-d47da3297daf"
"4022723","2017-06-27","https://support.microsoft.com/help/4022723","june-27-2017-kb4022723-os-build-14393-1378-e3478c1a-bded-e6fc-f7b5-dd484ec0fa16","e3478c1a-bded-e6fc-f7b5-dd484ec0fa16"
"4022725","2017-06-13","https://support.microsoft.com/help/4022725","june-13-2017-kb4022725-os-build-15063-413-and-15063-414-a807d8fc-6f02-d7a3-3901-563f4dc95c70","a807d8fc-6f02-d7a3-3901-563f4dc95c70"
"4022727","2017-06-13","https://support.microsoft.com/help/4022727","june-13-2017-kb4022727-os-build-10240-17443-c55b1775-d1dc-fff0-f43b-84e0c14067ab","c55b1775-d1dc-fff0-f43b-84e0c14067ab"
"4023935","2017-06-13","https://support.microsoft.com/help/4023935","june-13-2017-update-for-microsoft-office-3d6fe9fb-09a5-1b28-a4a0-7f4fa363dcb6","3d6fe9fb-09a5-1b28-a4a0-7f4fa363dcb6"
"4025334","2017-07-18","https://support.microsoft.com/help/4025334","july-18-2017-kb4025334-os-build-14393-1532-7f132a87-50ca-ace3-633f-9165971007d6","7f132a87-50ca-ace3-633f-9165971007d6"
"4025338","2017-07-11","https://support.microsoft.com/help/4025338","july-11-2017-kb4025338-os-build-10240-17488-aac535be-e177-1020-c347-42f8cdb463f7","aac535be-e177-1020-c347-42f8cdb463f7"
"4025339","2017-07-11","https://support.microsoft.com/help/4025339","july-11-2017-kb4025339-os-build-14393-1480-9b1930ca-5e30-1daa-3e53-27b58e9291db","9b1930ca-5e30-1daa-3e53-27b58e9291db"
"4025342","2017-07-11","https://support.microsoft.com/help/4025342","july-11-2017-kb4025342-os-build-15063-483-71882ff3-d452-e5b1-c12f-d33c8c433622","71882ff3-d452-e5b1-c12f-d33c8c433622"
"4025687","2017-06-13","https://support.microsoft.com/help/4025687","microsoft-security-advisory-4025685-guidance-for-older-platforms-june-13-2017-05151e8a-bd7f-f769-43df-38d2c24f96cd","05151e8a-bd7f-f769-43df-38d2c24f96cd"
"4025688","2017-06-13","https://support.microsoft.com/help/4025688","microsoft-security-advisory-4025685-guidance-for-embedded-platforms-june-13-2017-166c0198-ab2f-2dce-1c03-c5e4ed26658b","166c0198-ab2f-2dce-1c03-c5e4ed26658b"
"4025865","2010-09-12","https://support.microsoft.com/help/4025865","description-of-the-security-update-for-lync-2010-september-12-2017-ec9800cb-f17e-e763-1f88-e91fcf0d8848","ec9800cb-f17e-e763-1f88-e91fcf0d8848"
"4025866","2017-09-12","https://support.microsoft.com/help/4025866","description-of-the-security-update-for-lync-2010-attendee-admin-level-install-september-12-2017-921c6b11-64ce-5eda-9d31-b2764642b9c3","921c6b11-64ce-5eda-9d31-b2764642b9c3"
"4032219","2018-07-10","https://support.microsoft.com/help/4032219","july-10-2018-cumulative-update-for-project-server-2010-kb4032219-da1ee841-3d76-2a63-b6a8-03221d347676","da1ee841-3d76-2a63-b6a8-03221d347676"
"4032221","2018-08-14","https://support.microsoft.com/en-us/topic/august-14-2018-cumulative-update-for-sharepoint-server-2010-kb4032221-3d0e186f-6181-342d-0cb7-8f6fcb1d1e4d","august-14-2018-cumulative-update-for-sharepoint-server-2010-kb4032221-3d0e186f-6181-342d-0cb7-8f6fcb1d1e4d","3d0e186f-6181-342d-0cb7-8f6fcb1d1e4d"
"4032236","2019-07-02","https://support.microsoft.com/help/4032236","july-2-2019-update-for-office-2016-kb4032236-a4fd9bcf-d86a-cf9f-7155-6fad5b9f1682","a4fd9bcf-d86a-cf9f-7155-6fad5b9f1682"
"4032244","2018-08-14","https://support.microsoft.com/en-us/topic/august-14-2018-cumulative-update-for-sharepoint-foundation-2013-kb4032244-bad46f0d-67b1-36d7-3837-f43574d37d46","august-14-2018-cumulative-update-for-sharepoint-foundation-2013-kb4032244-bad46f0d-67b1-36d7-3837-f43574d37d46","bad46f0d-67b1-36d7-3837-f43574d37d46"
"4032245","2018-08-14","https://support.microsoft.com/help/4032245","august-14-2018-cumulative-update-for-project-server-2013-kb4032245-c077e474-8713-12a8-922e-a5d9c605261d","c077e474-8713-12a8-922e-a5d9c605261d"
"4032247","2018-08-14","https://support.microsoft.com/en-us/topic/august-14-2018-cumulative-update-for-sharepoint-enterprise-server-2013-kb4032247-4d3534d8-ea6d-0d7b-0a45-a2fdcda2d41a","august-14-2018-cumulative-update-for-sharepoint-enterprise-server-2013-kb4032247-4d3534d8-ea6d-0d7b-0a45-a2fdcda2d41a","4d3534d8-ea6d-0d7b-0a45-a2fdcda2d41a"
"4032250","2018-08-07","https://support.microsoft.com/help/4032250","august-7-2018-update-for-skype-for-business-2015-lync-2013-kb4032250-35cc550b-f67c-71a5-dd73-e464c7d37b19","35cc550b-f67c-71a5-dd73-e464c7d37b19"
"4032252","2019-02-05","https://support.microsoft.com/help/4032252","february-5-2019-update-for-access-2013-kb4032252-76d775e9-c5a7-74de-e288-5dce58bf40c2","76d775e9-c5a7-74de-e288-5dce58bf40c2"
"4032254","2019-08-06","https://support.microsoft.com/help/4032254","august-6-2019-update-for-office-2016-kb4032254-6a0f0c50-ca3f-716a-7a83-b09fca291517","6a0f0c50-ca3f-716a-7a83-b09fca291517"
"4032255","2018-08-07","https://support.microsoft.com/help/4032255","august-7-2018-update-for-skype-for-business-2016-kb4032255-03b27f18-e39b-60df-064f-eabcbc814649","03b27f18-e39b-60df-064f-eabcbc814649"
"4032256","2016-08-14","https://support.microsoft.com/en-us/topic/description-of-the-security-update-for-sharepoint-enterprise-server-2016-august-14-2018-33fdce98-8917-92ba-10fe-8c6db4215ba6","description-of-the-security-update-for-sharepoint-enterprise-server-2016-august-14-2018-33fdce98-8917-92ba-10fe-8c6db4215ba6","33fdce98-8917-92ba-10fe-8c6db4215ba6"
"4032542","2017-08-08","https://support.microsoft.com/help/4032542","kb4032542-description-of-the-security-update-for-sql-server-2014-service-pack-1-cu-august-8-2017-03601f9a-42f8-8a79-a28e-485474525b12","03601f9a-42f8-8a79-a28e-485474525b12"
"4032695","2017-06-27","https://support.microsoft.com/help/4032695","june-27-2017-kb4032695-os-build-10240-17446-b858dc19-a645-6deb-a08e-f0997cd5f4ad","b858dc19-a645-6deb-a08e-f0997cd5f4ad"
"4033107","2017-07-01","https://support.microsoft.com/help/4033107","july-2017-updates-for-microsoft-office-531c53b8-f700-dd76-6ac9-a7e9ddca9c90","531c53b8-f700-dd76-6ac9-a7e9ddca9c90"
"4034658","2017-08-08","https://support.microsoft.com/help/4034658","august-8-2017-kb4034658-os-build-14393-1593-e1d09604-6743-3743-dc0d-510d031ca9b8","e1d09604-6743-3743-dc0d-510d031ca9b8"
"4034661","2017-08-16","https://support.microsoft.com/help/4034661","august-16-2017-kb4034661-os-build-14393-1613-404023e0-df0b-1ceb-af08-7648804fc8ae","404023e0-df0b-1ceb-af08-7648804fc8ae"
"4034668","2017-08-08","https://support.microsoft.com/help/4034668","august-8-2017-kb4034668-os-build-10240-17533-04b9f140-92d5-212d-0bb6-76ef75eadad9","04b9f140-92d5-212d-0bb6-76ef75eadad9"
"4034674","2017-08-08","https://support.microsoft.com/help/4034674","august-8-2017-kb4034674-os-build-15063-540-6b86b17d-2b86-ce62-ecb5-ac9276d0e6df","6b86b17d-2b86-ce62-ecb5-ac9276d0e6df"
"4036121","2017-08-01","https://support.microsoft.com/help/4036121","august-2017-updates-for-microsoft-office-641dce6d-c6a7-37a2-6659-5ec024d7ba6e","641dce6d-c6a7-37a2-6659-5ec024d7ba6e"
"4036312","2017-12-01","https://support.microsoft.com/help/4036312","december-2017-cumulative-update-6-0-9319-510-for-skype-for-business-server-2015-front-end-server-and-edge-server-ccca9dd7-05b1-82c5-475e-e5d86056e810","ccca9dd7-05b1-82c5-475e-e5d86056e810"
"4038220","2017-08-07","https://support.microsoft.com/help/4038220","august-7-2017-kb4038220-os-build-14393-1537-5f6dc3d6-b11d-0722-1129-de3812886d93","5f6dc3d6-b11d-0722-1129-de3812886d93"
"4038781","2017-09-12","https://support.microsoft.com/help/4038781","september-12-2017-kb4038781-os-build-10240-17609-81c913cf-4b3d-8c48-0935-841703acc110","81c913cf-4b3d-8c48-0935-841703acc110"
"4038782","2017-09-12","https://support.microsoft.com/help/4038782","september-12-2017-kb4038782-os-build-14393-1715-8347678b-4b75-9c61-46d7-382b92a3749c","8347678b-4b75-9c61-46d7-382b92a3749c"
"4038788","2017-09-12","https://support.microsoft.com/help/4038788","september-12-2017-kb4038788-os-build-15063-608-fb4bb0a1-03c3-162f-7194-6b16638432bc","fb4bb0a1-03c3-162f-7194-6b16638432bc"
"4038801","2017-09-28","https://support.microsoft.com/help/4038801","september-28-2017-kb4038801-os-build-14393-1737-2bc1269a-998a-ef94-92bb-df4070c957ef","2bc1269a-998a-ef94-92bb-df4070c957ef"
"4039396","2017-08-28","https://support.microsoft.com/help/4039396","august-28-2017-kb4039396-os-build-14393-1670-1b1d8d19-eeef-850d-259d-a3276a07cd1c","1b1d8d19-eeef-850d-259d-a3276a07cd1c"
"4040279","2017-09-01","https://support.microsoft.com/help/4040279","september-2017-updates-for-microsoft-office-ae08a55c-9f45-1793-43fa-3c6a47da2c21","ae08a55c-9f45-1793-43fa-3c6a47da2c21"
"4040724","2017-09-25","https://support.microsoft.com/help/4040724","september-25-2017-kb4040724-os-build-15063-632-c8e1d5b2-28f4-f7dd-b71a-c4e9e1707036","c8e1d5b2-28f4-f7dd-b71a-c4e9e1707036"
"4041676","2017-10-10","https://support.microsoft.com/help/4041676","october-10-2017-kb4041676-os-build-15063-674-433a7449-6c5e-0587-0eb3-2cbaf7e3b2e1","433a7449-6c5e-0587-0eb3-2cbaf7e3b2e1"
"4041688","2017-10-17","https://support.microsoft.com/help/4041688","october-17-2017-kb4041688-os-build-14393-1794-4c7bd05c-1168-308c-c151-f77d54aa90c3","4c7bd05c-1168-308c-c151-f77d54aa90c3"
"4041691","2017-10-10","https://support.microsoft.com/help/4041691","october-10-2017-kb4041691-os-build-14393-1770-e50d84b2-aae8-72d2-bc27-f66ff0dda2d8","e50d84b2-aae8-72d2-bc27-f66ff0dda2d8"
"4042895","2017-10-10","https://support.microsoft.com/help/4042895","october-10-2017-kb4042895-os-build-10240-17643-219339ce-067c-9ce7-4755-e42c01e475fe","219339ce-067c-9ce7-4755-e42c01e475fe"
